x,random+software+w_8,random+software+w_64,random+universal+w_8,random+universal+w_64,bmc+formal+w_8,bmc+formal+w_64,bmc+universal+w_8,bmc+universal+w_64
4,0.0182173395,0.0198349179,0.0314833655,0.033609121799999996,0.088676406,0.376680493,0.256821258,1.018973093
8,0.0294116461,0.03276335849999999,0.050452203200000004,0.06198535520000001,0.606139724,1.8888761280000002,6.035779094,21.864937224000002
16,0.0474347279,0.0521152668,0.105182648,0.10518920670000001,23.866808837,25.564170397999998,,
32,0.0878269792,0.08445812790000001,0.168157192,0.1779372376,,,,
64,0.1617232095,0.16774644190000002,0.3358800213,0.33128724089999995,,,,
128,0.3181396392,0.2999715924,0.6504514024,0.6737814696000001,,,,
256,0.6335470475,0.6100700793,1.2958149530999998,1.3013306605000001,,,,
512,1.224540651,1.2012972533,2.6272888342000003,2.6072903230999995,,,,
1024,2.4055880316,2.4087014718000006,5.2029461776999995,5.2086269963,,,,
2048,4.7377222127000005,4.7962922707999995,10.6496919834,11.830866031100001,,,,
