x,random+software+w_8,random+software+w_64,random+universal+w_8,random+universal+w_64,bmc+formal+w_8,bmc+formal+w_64,bmc+universal+w_8,bmc+universal+w_64
4,0.0078493256,0.0095075963,0.0124023326,0.013781047300000002,0.085456431,0.18481709400000002,0.124623055,0.467338463
8,0.013336312800000001,0.0153675318,0.0209975019,0.0253322293,0.469248504,1.343764115,1.723052877,7.9540127
16,0.0212717467,0.024424247,0.037465727399999996,0.0442535492,17.996930555,23.270063206,,
32,0.043017076,0.04517402379999999,0.07969584230000001,0.0779015528,,,,
64,0.0775931097,0.07991102459999999,0.14390862029999998,0.1627331233,,,,
128,0.1477229978,0.1442875366,0.29604644210000003,0.3100292387,,,,
256,0.27126012289999996,0.26628324259999997,0.5884400007,0.6068501905000001,,,,
512,0.5412559004999999,0.5176207235000001,1.1490284012,1.1287120767,,,,
1024,1.0043420137999999,1.0268755166999999,2.2385090109,2.2527023045,,,,
2048,2.0818106226,2.1253380429,4.4581366005,4.5048291609,,,,
